kharakteristik,total manfaat sa dolar konstan 2011,total manfaat sa yang dibayarkan ke dolar konstan rcs 2011,persentase manfaat sa yang dibayarkan ke rcs persen,memperkirakan total manfaat sa yang dibayarkan ke dolar konstan rcs 2011,perkiraan persentase sa yang dibayarkan ke persen rcs
1999,12720599370.0,236875624.0,1.9,355145983.0,2.8
2000,11717799462.0,257300460.0,2.2,381388639.0,3.3
2001,11111833301.0,302774927.0,2.7,432057737.0,3.9
2002,10604219149.0,337936280.0,3.2,461719590.0,4.4
2003,10251014042.0,323237824.0,3.2,442453451.0,4.3
2004,10255760310.0,284246731.0,2.8,392020556.0,3.8
2005,10268147571.0,240181185.0,2.3,331527714.0,3.2
2006,10274813861.0,205056435.0,2.0,287171965.0,2.8
2007,10422332544.0,201605857.0,1.9,283756988.0,2.7
2008,10553340967.0,242407509.0,2.3,344977223.0,3.3
2009,11624450454.0,324633550.0,2.8,443310191.0,3.8
2010,12066912323.0,319008634.0,2.6,429676580.0,3.6
2011,12192859489.0,290680087.0,2.4,397842359.0,3.3
