kharakteristik,total minuman 2004,total minuman 2015,"skim, 1% atau 2% susu 2004","skim, 1% atau 2% susu 2015",susu utuh dan susu rasa 2004,susu utuh dan susu rasa 2015,jus buah 2004,jus buah 2015,minuman ringan 2004,minuman ringan tahun 2015,minuman buah 2004,minuman buah 2015
"kedua jenis kelamin, 1 hingga 8 tahun",,,,,,,,,,,,
"kedua jenis kelamin, kuantitas 1 hingga 8 tahun",1091.0,975.0,243.0,190.0,167.0,131.0,176.6,122.5,42.4,14.5,122.2,40.0
"kedua jenis kelamin, proporsi energi 1 hingga 8 tahun",22.6,17.6,6.7,6.1,6.4,5.6,4.8,3.8,1.0,0.4,3.3,1.1
"kedua jenis kelamin, proporsi vitamin c 1 hingga 8 tahun",65.2,51.0,1.8,0.3,1.3,0.6,45.1,38.6,0.0,0.0,16.3,10.0
"kedua jenis kelamin, proporsi kalsium 1 hingga 8 tahun",52.2,45.9,29.0,25.0,18.8,15.8,1.5,2.2,0.1,0.0,1.1,0.4
"kedua jenis kelamin, proporsi vitamin d 1 hingga 8 tahun",69.9,58.7,42.2,33.8,26.4,22.3,0.0,1.3,0.0,0.0,0.0,0.0
"kedua jenis kelamin, proporsi lemak jenuh 1 hingga 8 tahun",24.3,21.7,10.9,10.0,13.1,11.5,0.1,0.1,,,0.1,0.0
"kedua jenis kelamin, proporsi kelembapan 1 hingga 8 tahun",66.8,63.5,14.5,11.8,9.6,7.9,10.4,7.5,2.5,0.9,7.2,2.5
"kedua jenis kelamin, proporsi protein 1 hingga 8 tahun",22.8,18.7,12.8,10.6,8.5,6.9,1.1,0.8,0.0,0.0,0.1,0.1
"kedua jenis kelamin, proporsi gula 1 hingga 8 tahun",45.6,36.6,10.9,10.5,9.7,8.5,15.0,11.3,3.6,1.2,6.1,3.6
"kedua jenis kelamin, 9 hingga 13 tahun",,,,,,,,,,,,
"kedua jenis kelamin, kuantitas 9 hingga 13 tahun",1449.0,1276.0,289.0,217.0,93.0,64.0,159.9,121.0,130.7,66.4,186.3,67.6
"kedua jenis kelamin, proporsi energi 9 hingga 13 tahun",19.0,14.8,6.0,5.4,3.0,2.4,3.3,3.1,2.4,1.4,3.8,1.5
"kedua jenis kelamin, proporsi vitamin c 9 hingga 13 tahun",61.6,53.7,1.9,0.4,0.9,1.1,36.6,36.1,0.0,0.0,21.6,14.0
"kedua jenis kelamin, proporsi kalsium 9 hingga 13 tahun",46.3,40.1,32.0,27.4,9.4,6.7,1.4,2.4,0.4,0.2,1.5,0.5
"kedua jenis kelamin, proporsi vitamin d 9 hingga 13 tahun",60.7,53.1,47.7,40.4,12.2,9.9,0.0,1.6,0.0,0.0,0.0,0.0
"kedua jenis kelamin, proporsi lemak jenuh 9 hingga 13 tahun",15.1,12.4,9.8,8.4,5.0,3.5,0.1,0.1,,,0.1,0.0
"kedua jenis kelamin, proporsi kelembapan 9 hingga 13 tahun",69.1,68.1,13.3,10.9,4.0,3.0,7.2,6.0,6.0,3.4,8.4,3.4
"kedua jenis kelamin, proporsi protein 9 hingga 13 tahun",16.7,13.6,11.8,9.9,3.6,2.6,1.0,0.7,0.0,0.0,0.1,0.1
"kedua jenis kelamin, proporsi gula 9 hingga 13 tahun",43.4,38.5,10.3,10.4,5.4,5.1,9.0,9.6,9.0,5.0,7.9,5.3
"laki-laki, 14 hingga 18 tahun",,,,,,,,,,,,
"laki-laki, kuantitas 14 hingga 18 tahun",2175.0,1901.0,313.0,239.0,106.0,62.0,191.1,161.5,375.3,161.6,178.4,61.2
"laki-laki, proporsi energi 14 hingga 18 tahun",20.9,15.9,5.1,4.9,2.7,1.9,3.0,3.2,5.3,2.7,2.8,1.1
"laki-laki, 14 hingga 18 tahun proporsi vitamin c",60.9,57.2,1.9,0.4,0.9,0.9,41.1,38.9,0.0,0.0,15.7,12.4
"laki-laki, proporsi kalsium 14 hingga 18 tahun",44.3,38.8,29.8,25.2,9.1,5.4,1.3,2.5,0.9,0.4,1.3,0.4
"laki-laki, 14 hingga 18 tahun proporsi vitamin d",56.5,46.7,43.7,35.4,12.2,7.5,0.0,1.4,0.0,0.0,0.0,0.0
"laki-laki, proporsi lemak jenuh 14 hingga 18 tahun",13.5,11.7,8.6,7.7,4.6,2.8,0.1,0.1,0.0,,0.1,0.0
"laki-laki, proporsi kelembapan 14 hingga 18 tahun",74.5,72.9,10.3,8.5,3.2,2.1,6.2,5.7,12.3,5.8,5.8,2.2
"laki-laki, proporsi protein 14 hingga 18 tahun",14.0,10.9,9.5,7.8,3.0,1.8,1.0,0.8,0.0,0.0,0.1,0.1
"laki-laki, proporsi gula 14 hingga 18 tahun",52.6,47.0,9.2,10.4,5.1,4.4,8.0,10.6,22.3,11.8,5.2,3.9
"perempuan, 14 hingga 18 tahun",,,,,,,,,,,,
"perempuan, kuantitas 14 hingga 18 tahun",1693.0,1486.0,201.0,149.0,78.0,64.0,164.1,77.9,178.2,80.0,167.4,52.0
"perempuan, proporsi energi 14 hingga 18 tahun",19.7,15.9,4.5,4.0,2.7,2.6,3.7,2.1,3.5,1.9,3.7,1.3
"perempuan, 14 hingga 18 tahun proporsi vitamin c",61.1,57.2,1.4,0.3,1.0,1.7,38.6,28.5,0.0,0.0,18.7,11.7
"perempuan, proporsi kalsium 14 hingga 18 tahun",42.8,38.8,26.9,21.9,9.2,7.5,1.5,1.4,0.6,0.3,1.8,0.5
"perempuan, 14 hingga 18 tahun proporsi vitamin d",55.5,46.7,41.3,30.1,12.7,9.9,0.0,,0.0,0.0,,0.0
"perempuan, proporsi lemak jenuh 14 hingga 18 tahun",12.1,11.7,7.3,5.9,4.1,3.3,0.1,0.1,,,,0.0
"betina, proporsi kelembapan 14 hingga 18 tahun",73.6,72.9,8.3,6.7,3.0,2.7,6.7,3.5,7.4,3.6,6.8,2.4
"perempuan, proporsi protein 14 hingga 18 tahun",14.5,10.9,9.3,7.2,3.3,2.5,1.2,0.6,0.0,0.0,0.2,0.1
"perempuan, proporsi gula 14 hingga 18 tahun",47.3,47.0,8.0,8.0,5.4,6.0,9.9,6.7,14.1,7.8,7.4,4.5
