kharakteristik,dolar saat ini dolar dasar 2008,dolar saat ini dolar dasar 2018,dolar saat ini selisih dolar,persen perbedaan dolar saat ini
wilayah provinsi,,,,
newfoundland dan labrador pedesaan,39802.0,42539.0,2737.0,6.9
newfoundland dan labrador <30.000,40375.0,42926.0,2551.0,6.3
newfoundland dan labrador 30.000 hingga 99.999,,44167.0,,
newfoundland dan labrador st. milik John,38536.0,44808.0,6272.0,16.3
pedesaan pulau pangeran Edward,38338.0,41520.0,3183.0,8.3
pulau pangeran Edward <30.000,39184.0,42283.0,3099.0,7.9
pulau pangeran Edward charlottetown,37591.0,43205.0,5614.0,14.9
pedesaan nova scotia,38741.0,41588.0,2847.0,7.3
Nova Scotia <30.000,38927.0,42494.0,3567.0,9.2
nova scotia 30.000 hingga 99.999,36607.0,42800.0,6193.0,16.9
nova scotia halifax,37816.0,45197.0,7381.0,19.5
nova scotia tanjung breton,35524.0,41533.0,6009.0,16.9
pedesaan brunswick baru,38713.0,40766.0,2053.0,5.3
brunswick baru <30.000,39297.0,42284.0,2987.0,7.6
brunswick baru 30.000 hingga 99.999,38707.0,42058.0,3351.0,8.7
fredericton brunswick baru,39675.0,43906.0,4231.0,10.7
santo john brunswick baru,37302.0,41700.0,4397.0,11.8
moncton brunswick baru,36212.0,42026.0,5814.0,16.1
pedesaan Quebec,35096.0,37804.0,2708.0,7.7
Quebec <30.000,35186.0,37397.0,2211.0,6.3
Quebec 30.000 hingga 99.999,33115.0,37442.0,4326.0,13.1
Quebec 100.000 hingga 499.999,34163.0,37940.0,3777.0,11.1
quebec quebec,34835.0,39601.0,4765.0,13.7
Quebec Montreal,35640.0,40160.0,4520.0,12.7
pedesaan ontario,38057.0,40576.0,2519.0,6.6
ontario <30.000,37847.0,41250.0,3403.0,9.0
ontario 30.000 hingga 99.999,34932.0,40769.0,5838.0,16.7
ontario 100.000 menjadi 499.999,37800.0,42933.0,5133.0,13.6
ontario 500.000,,44851.0,,
ontario ottawa,41546.0,47233.0,5688.0,13.7
ontario hamilton/burlington,38337.0,43517.0,5180.0,13.5
ontario toronto,42101.0,48142.0,6041.0,14.3
pedesaan manitoba,36091.0,38954.0,2863.0,7.9
manitoba <30.000,37528.0,40780.0,3252.0,8.7
manitoba 30.000 hingga 99.999,,40842.0,,
manitoba brandon,35121.0,40404.0,5284.0,15.0
manitoba winnipeg,37510.0,44030.0,6521.0,17.4
pedesaan saskatchewan,37533.0,40280.0,2747.0,7.3
saskatchewan <30.000,38634.0,42003.0,3369.0,8.7
saskatchewan 30.000 hingga 99.999,35791.0,42208.0,6418.0,17.9
saskatchewan saskatoon,37849.0,45652.0,7803.0,20.6
regina saskatchewan,37873.0,44833.0,6959.0,18.4
alberta pedesaan,40183.0,45047.0,4864.0,12.1
"alberta <30,000",41598.0,46158.0,4560.0,11.0
alberta 30.000 menjadi 99.999,40371.0,44874.0,4504.0,11.2
"alberta 100,000 menjadi 499,999",38630.0,45468.0,6838.0,17.7
alberta edmonton,38584.0,47869.0,9285.0,24.1
alberta calgary,40452.0,48349.0,7897.0,19.5
pedesaan columbia inggris,38527.0,41463.0,2936.0,7.6
columbia inggris <30.000,38543.0,42608.0,4065.0,10.5
columbia inggris 30.000 hingga 99.999,35795.0,42829.0,7034.0,19.6
columbia inggris 100.000 menjadi 499.999,39846.0,47111.0,7266.0,18.2
columbia inggris vancouver,40644.0,48677.0,8033.0,19.8
