kharakteristik,jumlah rata-rata ganja kering,jumlah ganja kering batas bawah interval kepercayaan 95%.,jumlah ganja kering batas atas interval kepercayaan 95%.
jumlah gram,,,
total gram rata-rata,27.5,22.7,32.3
jenis kelamin,,,
jenis kelamin laki-laki,27.6,21.3,33.9
jenis kelamin perempuan,27.6,20.6,34.6
kelompok umur,,,
kelompok usia 15 hingga 24 tahun,18.9,10.7,27.0
kelompok usia 25 atau lebih,30.0,24.5,35.6
jenis produk ganja,,,
jenis produk ganja yang dikeringkan (bunga/daun) saja,22.1,15.9,28.4
jenis produk ganja kering (bunga/daun) lainnya,33.7,26.5,41.0
frekuensi penggunaan,,,
frekuensi penggunaan setiap hari atau hampir setiap hari,62.6,52.3,72.9
frekuensi penggunaan mingguan,12.0,8.9,15.1
frekuensi penggunaan setiap bulan,8.3,3.7,12.8
frekuensi penggunaan sekali atau dua kali,2.6,1.5,3.7
