kharakteristik,harga minyak mentah per 100.000,Interval kepercayaan 95% dari,Interval kepercayaan 95% sampai,tarif standar usia per 100.000,Interval kepercayaan 95% dari,Interval kepercayaan 95% sampai,rasio tarif standar usia,Interval kepercayaan 95% dari,Interval kepercayaan 95% sampai
kuintil pendapatan rumah tangga,,,,,,,,,
kuintil pendapatan rumah tangga kuintil 1,23.4,21.0,25.8,25.8,23.2,28.5,3.9,3.4,4.6
kuintil pendapatan rumah tangga 2,12.7,10.9,14.5,13.6,11.5,15.6,2.1,1.8,2.4
kuintil pendapatan rumah tangga 3,9.0,7.6,10.4,9.3,7.8,10.7,1.4,1.2,1.6
kuintil pendapatan rumah tangga 4,7.0,5.9,8.1,7.2,6.0,8.4,1.1,0.9,1.3
kuintil pendapatan rumah tangga kuintil 5,6.6,5.5,7.8,6.6,5.6,7.6,,,
tingkat pencapaian pendidikan tertinggi,,,,,,,,,
"tingkat pencapaian pendidikan tertinggi tanpa sertifikat, diploma atau gelar",23.0,20.4,25.7,26.3,23.0,29.6,2.1,1.9,2.4
tingkat pendidikan tertinggi ijazah sekolah menengah atas (atau sederajat) dan/atau sertifikat perdagangan,14.3,12.8,15.8,14.6,13.0,16.1,1.2,1.0,1.3
tingkat pencapaian pendidikan tertinggi diploma perguruan tinggi atau universitas di bawah tingkat sarjana,12.7,11.1,14.4,12.4,10.7,14.1,,,
tingkat pencapaian pendidikan tertinggi gelar universitas,5.5,4.3,6.7,5.8,4.4,7.2,0.5,0.4,0.5
status angkatan kerja,,,,,,,,,
status angkatan kerja bekerja,6.5,5.8,7.2,6.6,5.9,7.4,,,
status angkatan kerja menganggur,20.1,14.5,25.6,20.4,13.9,26.9,3.1,2.8,3.5
status angkatan kerja bukan angkatan kerja,30.8,27.8,33.7,32.5,29.3,35.7,4.8,3.0,7.5
status angkatan kerja bukan angkatan kerja,19.6,16.6,22.5,19.6,16.6,22.5,3.0,2.6,3.3
pekerjaan,,,,,,,,,
manajemen pekerjaan,5.1,2.8,7.4,6.4,3.6,9.2,0.7,0.6,0.9
"pekerjaan bisnis, keuangan dan administrasi",7.3,5.6,8.9,7.0,5.4,8.6,0.8,0.6,0.9
pekerjaan ilmu alam dan terapan dan terkait,3.0,1.9,4.0,2.8,1.6,4.0,0.3,0.2,0.4
kesehatan kerja,9.2,5.7,12.8,8.3,5.1,11.4,0.9,0.7,1.1
"pendidikan pekerjaan, hukum, sosial, kemasyarakatan, dan pelayanan pemerintah",6.8,5.0,8.6,6.6,4.9,8.3,0.7,0.6,0.9
"pekerjaan seni, budaya, rekreasi, olahraga",6.1,3.6,8.6,7.0,3.5,10.5,0.8,0.6,0.9
penjualan dan layanan pekerjaan,9.5,7.7,11.3,9.1,7.2,11.0,,,
"pekerjaan perdagangan, transportasi, operator peralatan, dan yang terkait",9.7,7.9,11.5,9.5,7.7,11.3,1.0,0.9,1.3
"pendudukan sumber daya alam, pertanian, dan produksi terkait",6.7,3.8,9.7,6.6,3.5,9.6,0.7,0.6,0.9
"manufaktur pekerjaan, dan utilitas",8.2,5.2,11.2,12.7,2.4,23.1,1.4,1.1,1.7
