kharakteristik,tingkat rata-rata yang direvisi,tingkat rata-rata yang dipublikasikan sebelumnya,revisi rata-rata
jutaan dolar pada tahun 2016,,,
jutaan dolar kompensasi karyawan pada tahun 2016,1026483.0,1026483.0,0.0
surplus operasi kotor jutaan dolar pada tahun 2016,526024.0,524953.0,1071.0
jutaan dolar pendapatan campuran kotor tahun 2016,244403.0,244722.0,-319.0
"jutaan dolar pada tahun 2016, pajak dikurangi subsidi produksi",90516.0,90686.0,-170.0
"jutaan dolar pada tahun 2016, pajak dikurangi subsidi pada produk dan impor",139429.0,140222.0,-793.0
jutaan dolar PDB 2016 dengan harga pasar,2025535.0,2028223.0,-2688.0
jutaan dolar pada tahun 2017,,,
jutaan dolar 2017 kompensasi karyawan,1069956.0,1070831.0,-875.0
surplus operasi kotor jutaan dolar pada tahun 2017,573257.0,572951.0,306.0
jutaan dolar pendapatan campuran kotor tahun 2017,256757.0,254554.0,2203.0
"jutaan dolar pada tahun 2017, pajak dikurangi subsidi produksi",95563.0,96024.0,-461.0
"jutaan dolar pada tahun 2017, pajak dikurangi subsidi pada produk dan impor",145647.0,147101.0,-1454.0
jutaan dolar PDB 2017 dengan harga pasar,2141107.0,2141508.0,-401.0
jutaan dolar pada tahun 2018,,,
jutaan dolar kompensasi karyawan pada tahun 2018,1120520.0,1119903.0,617.0
surplus operasi kotor jutaan dolar pada tahun 2018,590510.0,583967.0,6543.0
jutaan dolar pendapatan campuran kotor 2018,265147.0,265036.0,111.0
jutaan dolar pada tahun 2018 mengenakan pajak lebih sedikit subsidi produksi,98698.0,98493.0,205.0
jutaan dolar pada tahun 2018 mengenakan pajak lebih sedikit subsidi pada produk dan impor,148921.0,152208.0,-3287.0
jutaan dolar PDB 2018 dengan harga pasar,2223856.0,2219061.0,4795.0
rata-rata jutaan dolar pada tahun 2016 hingga 2018,,,
jutaan dolar kompensasi rata-rata karyawan tahun 2016 hingga 2018,1072320.0,1072406.0,-86.0
jutaan dolar rata-rata surplus operasi kotor tahun 2016 hingga 2018,563264.0,560624.0,2640.0
jutaan dolar rata-rata pendapatan campuran kotor tahun 2016 hingga 2018,255436.0,254771.0,665.0
jutaan dolar pajak rata-rata tahun 2016 hingga 2018 dikurangi subsidi produksi,94926.0,95068.0,-142.0
jutaan dolar pajak rata-rata tahun 2016 hingga 2018 dikurangi subsidi produk dan impor,144666.0,146510.0,-1845.0
jutaan dolar PDB rata-rata 2016 hingga 2018 berdasarkan harga pasar,2130166.0,2129597.0,569.0
