kharakteristik,2011 ribuan,persentase tahun 2011,2015 ribuan,persentase tahun 2015
orang yang berhak memilih,24919.2,100.0,26079.4,100.0
orang yang berhak memilih penduduk asli,604.3,2.4,719.6,2.8
"orang yang berhak memilih adalah orang yang lahir di Kanada, bukan orang Aborigin",19288.0,77.4,19832.1,76.0
orang yang berhak memilih imigran,4859.3,19.5,5366.5,20.6
"orang yang berhak memilih lahir di luar Kanada, bukan imigran",167.7,0.7,161.3,0.6
pemilih,17445.1,100.0,20080.8,100.0
pemilih penduduk asli,323.2,1.9,490.3,2.4
"pemilih adalah orang-orang kelahiran Kanada, non-aborigin",13677.8,78.4,15443.6,76.9
pemilih imigran,3329.9,19.1,4019.4,20.0
"pemilih yang lahir di luar Kanada, non-imigran",114.1,0.7,127.7,0.6
