kharakteristik,wirausaha tidak berbadan hukum kolom 1 nomor,isikan kolom 2 nomor,kolom tarif masuk 3 persen,keluar kolom 4 nomor,kolom tingkat keluar 5 persen,aliran kotor kolom 6 nomor,kolom laju aliran kotor 7 persen,aliran bersih kolom 8 nomor,kolom laju alir bersih 9 persen
tahun 1989,1253251.0,467995.0,37.3,456072.0,36.4,924067.0,73.7,11923.0,1.0
tahun 1990,1275997.0,475329.0,37.3,472917.0,37.1,948246.0,74.3,2412.0,0.2
tahun 1991,1289131.0,466777.0,36.2,473290.0,36.7,940067.0,72.9,-6513.0,-0.5
tahun 1992,1354724.0,520132.0,38.4,435145.0,32.1,955277.0,70.5,84987.0,6.3
tahun 1993,1429147.0,549445.0,38.4,442030.0,30.9,991475.0,69.4,107415.0,7.5
tahun 1994,1523023.0,602576.0,39.6,460038.0,30.2,1062614.0,69.8,142538.0,9.4
tahun 1995,1584271.0,592353.0,37.4,510687.0,32.2,1103040.0,69.6,81666.0,5.2
tahun 1996,1661205.0,618871.0,37.3,509233.0,30.7,1128104.0,67.9,109638.0,6.6
tahun 1997,1742560.0,663727.0,38.1,524331.0,30.1,1188058.0,68.2,139396.0,8.0
tahun 1998,1787556.0,642515.0,35.9,574101.0,32.1,1216616.0,68.1,68414.0,3.8
tahun 1999,1812484.0,625509.0,34.5,580822.0,32.0,1206331.0,66.6,44687.0,2.5
tahun 2000,1818757.0,618813.0,34.0,592896.0,32.6,1211709.0,66.6,25917.0,1.4
tahun 2001,1834968.0,617560.0,33.7,593036.0,32.3,1210596.0,66.0,24524.0,1.3
tahun 2002,1844769.0,616136.0,33.4,595128.0,32.3,1211264.0,65.7,21008.0,1.1
tahun 2003,1873082.0,647462.0,34.6,609365.0,32.5,1256827.0,67.1,38097.0,2.0
tahun 2004,1880239.0,639566.0,34.0,623758.0,33.2,1263324.0,67.2,15808.0,0.8
tahun 2005,1917719.0,691439.0,36.1,631887.0,32.9,1323326.0,69.0,59552.0,3.1
tahun 2006,1921756.0,672385.0,35.0,665625.0,34.6,1338010.0,69.6,6760.0,0.4
tahun 2007,1972510.0,741686.0,37.6,670823.0,34.0,1412509.0,71.6,70863.0,3.6
tahun 2008,1977448.0,705182.0,35.7,694067.0,35.1,1399249.0,70.8,11115.0,0.6
tahun 2009,1971929.0,707920.0,35.9,690843.0,35.0,1398763.0,70.9,17077.0,0.9
tahun 2010,2014098.0,779880.0,38.7,683050.0,33.9,1462930.0,72.6,96830.0,4.8
rata-rata tahun,1715483.0,621057.0,36.3,567688.0,33.1,1188746.0,69.5,53369.0,3.2
