kharakteristik,jenis zat jumlah ganja,jenis zat tingkat ganja,jenis zat nomor kokain,jenis zat kokain tingkat,jenis zat nomor sabu,jenis zat kadar metamfetamin,jenis zat nomor cdsa lainnya,jenis zat laju cdsa lainnya,jumlah total,tarif total
kelowna,1043,563,355,192,77,42,164,89,1639,885
vancouver,7392,302,2077,85,631,26,1240,51,11340,464
gatineau,988,306,126,39,203,63,160,50,1477,457
regina,492,210,397,169,19,8,125,53,1033,441
misi Abbotsford,422,238,134,76,65,37,120,68,741,418
Victoria,999,280,279,78,71,20,140,39,1489,417
sherbrooke,554,285,50,26,27,14,129,66,760,390
trois-rivieres,377,244,51,33,85,55,35,23,548,355
sudbury yang lebih besar,264,160,143,87,1,1,148,90,556,337
Brantford,300,211,87,61,5,4,70,49,462,325
tukang dapur-cambridge-waterloo,1205,225,179,33,42,8,266,50,1692,316
halifax,977,239,182,45,3,1,106,26,1268,310
hamilton,1474,201,326,44,10,1,249,34,2059,280
London,751,150,172,34,110,22,317,63,1350,269
guelph,271,211,28,22,15,12,22,17,336,261
edmonton,1964,152,783,61,333,26,292,23,3372,261
st. milik John,289,143,52,26,0,0,178,88,519,256
barrie,303,146,114,55,2,1,106,51,525,252
saskatoon,506,169,126,42,41,14,80,27,753,252
santo john,247,169,62,42,0,0,58,40,367,251
monton,253,176,45,31,12,8,42,29,352,245
Quebec,1145,146,139,18,106,13,382,49,1772,225
saguenay,243,145,32,19,60,36,33,20,368,219
montreal,5830,146,961,24,315,8,1566,39,8672,218
toronto,7639,129,2119,36,137,2,1422,24,11317,192
Windsor,382,116,89,27,10,3,129,39,610,185
Ottawa,1234,127,375,38,6,1,177,18,1792,184
peterborough,157,129,30,25,1,1,25,21,213,175
st.catharines-niagara,532,119,145,33,16,4,84,19,777,174
kingston,135,82,54,33,34,21,55,34,278,170
winnipeg,574,72,379,47,6,1,193,24,1152,144
calgary,1110,81,519,38,47,3,100,7,1776,129
teluk guntur,86,71,43,35,0,0,27,22,156,128
jumlah cma,40138,166,10653,44,2490,10,8240,34,61521,255
total cma bukan total cma,33135,301,6792,62,2131,19,5478,50,47536,432
Kanada,73273,208,17445,50,4621,13,13718,39,109057,310
