kharakteristik,administrasi dan layanan pusat / layanan internal federal ribuan dolar,hak asuh ribuan dolar,pengawasan masyarakat ribuan dolar,dewan pembebasan bersyarat nasional dan provinsi ribuan dolar,intervensi pemasyarakatan federal ribuan dolar,totalnya ribuan dolar,persentase perubahan total dari tahun 2017/2018 persen,rata-rata biaya narapidana harian dalam dolar 2018/2019,biaya per kapita dalam dolar 2018/2019
pulau pangeran Edward,534.0,8924,1466,,,10925,0,240,71.0
Nova Scotia,5354.0,48227,8346,,,61928,2,282,65.0
brunswick baru,807.0,33748,4053,,,38608,-3,197,50.0
Quebec,13081.0,474668,83188,5214.0,,576151,5,290,69.0
ontario,42715.0,821912,125578,3939.0,,994144,9,302,69.0
manitoba,2165.0,225140,23994,,,251299,13,293,186.0
saskatchewan,8259.0,125188,26428,,,159875,6,178,137.0
alberta,8790.0,206621,40594,,,256005,-1,157,60.0
columbia inggris,17930.0,218071,58426,,,294428,-9,247,59.0
yukon,278.0,11038,3142,,,14458,5,451,356.0
wilayah barat laut,1987.0,28161,4738,,,34886,0,423,776.0
total provinsi dan wilayah,101901.0,2201698,379954,9153.0,,2692706,4,259,74.0
federal,310506.0,1458808,159691,44054.0,432522.0,2405581,-6,318,65.0
total-semua yurisdiksi,,3660506,539645,53207.0,,5098287,-1,281,
